date,crime_type,state
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
02-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
11-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,FORGERY,New York
12-2023,PETIT LARCENY,New York
12-2023,OTHER OFFENSES RELATED TO THEF,New York
12-2023,BURGLARY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,BURGLARY,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS WEAPONS,New York
11-2023,GRAND LARCENY,New York
12-2023,OTHER OFFENSES RELATED TO THEF,New York
10-2017,THEFT-FRAUD,New York
12-2023,FELONY ASSAULT,New York
12-2023,OFFENSES AGAINST THE PERSON,New York
12-2023,ROBBERY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,GRAND LARCENY,New York
11-2023,PETIT LARCENY,New York
12-2023,ROBBERY,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,CRIMINAL TRESPASS,New York
12-2023,OTHER OFFENSES RELATED TO THEF,New York
12-2023,GRAND LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
10-2023,GRAND LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
08-2023,HARRASSMENT 2,New York
12-2023,OFFENSES AGAINST PUBLIC ADMINI,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,FELONY SEX CRIMES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS WEAPONS,New York
12-2023,PETIT LARCENY,New York
12-2023,OTHER STATE LAWS (NON PENAL LA,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,BURGLARY,New York
12-2023,HARRASSMENT 2,New York
12-2023,POSSESSION OF STOLEN PROPERTY,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,PETIT LARCENY,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
01-2023,FORGERY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2022,ROBBERY,New York
12-2023,FELONY ASSAULT,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ROBBERY,New York
12-2023,PETIT LARCENY,New York
12-2023,BURGLARY,New York
12-2023,HARRASSMENT 2,New York
01-2019,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ROBBERY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,GRAND LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS WEAPONS,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,GRAND LARCENY,New York
11-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,FELONY ASSAULT,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,HARRASSMENT 2,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,PETIT LARCENY,New York
12-2023,ROBBERY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,HARRASSMENT 2,New York
12-2023,ROBBERY,New York
12-2023,GRAND LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL TRESPASS,New York
12-2023,FELONY ASSAULT,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,FRAUDS,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,FORGERY,New York
12-2023,FELONY ASSAULT,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
11-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,CRIMINAL TRESPASS,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,FELONY ASSAULT,New York
12-2023,OFFENSES AGAINST PUBLIC ADMINI,New York
12-2023,POSSESSION OF STOLEN PROPERTY,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,GRAND LARCENY,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
04-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,ROBBERY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,FRAUDS,New York
12-2023,PETIT LARCENY,New York
12-2023,RAPE,New York
12-2023,PETIT LARCENY,New York
12-2023,ADMINISTRATIVE CODE,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,SEX CRIMES,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ROBBERY,New York
12-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,BURGLARY,New York
12-2023,GRAND LARCENY,New York
07-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,SEX CRIMES,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,OTHER OFFENSES RELATED TO THEF,New York
12-2023,GRAND LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,OFFENSES AGAINST PUBLIC ADMINI,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS WEAPONS,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,FELONY ASSAULT,New York
11-2023,PETIT LARCENY,New York
11-2023,GRAND LARCENY,New York
12-2023,NYS LAWS-UNCLASSIFIED FELONY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,BURGLARY,New York
12-2023,HARRASSMENT 2,New York
08-2022,FORGERY,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,HARRASSMENT 2,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,FELONY ASSAULT,New York
12-2023,SEX CRIMES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,PETIT LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,FRAUDS,New York
12-2023,GRAND LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,OFFENSES AGAINST PUBLIC ADMINI,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
11-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,FORGERY,New York
12-2023,DANGEROUS DRUGS,New York
03-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,OFFENSES AGAINST THE PERSON,New York
12-2023,FELONY ASSAULT,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,HARRASSMENT 2,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,BURGLARY,New York
12-2023,ROBBERY,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,BURGLARY,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,CRIMINAL TRESPASS,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
10-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
09-2023,THEFT-FRAUD,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,ROBBERY,New York
12-2023,ADMINISTRATIVE CODE,New York
12-2023,FELONY ASSAULT,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,THEFT-FRAUD,New York
12-2023,OTHER OFFENSES RELATED TO THEF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,SEX CRIMES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,OFFENSES INVOLVING FRAUD,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,HARRASSMENT 2,New York
12-2023,SEX CRIMES,New York
12-2023,HARRASSMENT 2,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,DANGEROUS WEAPONS,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,GRAND LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,DANGEROUS WEAPONS,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,BURGLARY,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
12-2023,ADMINISTRATIVE CODE,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,BURGLARY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
11-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
11-2023,SEX CRIMES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,INTOXICATED/IMPAIRED DRIVING,New York
12-2023,ROBBERY,New York
12-2023,FELONY ASSAULT,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
09-2023,HARRASSMENT 2,New York
11-2023,PETIT LARCENY,New York
12-2013,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,FELONY ASSAULT,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
10-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,SEX CRIMES,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,FELONY ASSAULT,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,ROBBERY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,BURGLAR'S TOOLS,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,ADMINISTRATIVE CODE,New York
12-2023,PETIT LARCENY,New York
10-2023,PETIT LARCENY,New York
12-2023,FRAUDS,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,SEX CRIMES,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ROBBERY,New York
12-2023,HARRASSMENT 2,New York
12-2023,DANGEROUS WEAPONS,New York
12-2023,CRIMINAL TRESPASS,New York
12-2023,PETIT LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,CRIMINAL TRESPASS,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
11-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,ADMINISTRATIVE CODE,New York
12-2023,GRAND LARCENY,New York
12-2023,BURGLARY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,FRAUDS,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,HARRASSMENT 2,New York
12-2023,ROBBERY,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
09-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
11-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,BURGLARY,New York
12-2023,GRAND LARCENY,New York
08-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
11-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
10-2023,FORGERY,New York
12-2023,RAPE,New York
05-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,ARSON,New York
10-2023,FRAUDS,New York
10-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,PETIT LARCENY OF MOTOR VEHICLE,New York
12-2023,PETIT LARCENY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,ROBBERY,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,FELONY ASSAULT,New York
12-2023,SEX CRIMES,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,FRAUDS,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,BURGLARY,New York
12-2023,GRAND LARCENY,New York
12-2023,OFF. AGNST PUB ORD SENSBLTY &,New York
12-2023,PETIT LARCENY,New York
12-2023,ROBBERY,New York
12-2023,PETIT LARCENY,New York
11-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
09-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,ROBBERY,New York
12-2023,ROBBERY,New York
12-2023,PETIT LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,POSSESSION OF STOLEN PROPERTY,New York
12-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,RAPE,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
11-2023,PETIT LARCENY,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,HARRASSMENT 2,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
10-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,RAPE,New York
12-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,OFFENSES AGAINST PUBLIC ADMINI,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,PETIT LARCENY,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,VEHICLE AND TRAFFIC LAWS,New York
11-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
11-2023,MISCELLANEOUS PENAL LAW,New York
12-2023,PETIT LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,FELONY ASSAULT,New York
12-2023,HARRASSMENT 2,New York
12-2023,HARRASSMENT 2,New York
11-2011,SEX CRIMES,New York
12-2023,HARRASSMENT 2,New York
12-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
11-2023,FELONY ASSAULT,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
11-2023,PETIT LARCENY,New York
12-2023,PETIT LARCENY,New York
12-2023,SEX CRIMES,New York
12-2023,GRAND LARCENY,New York
12-2023,POSSESSION OF STOLEN PROPERTY,New York
12-2023,HARRASSMENT 2,New York
12-2023,GRAND LARCENY,New York
12-2023,HARRASSMENT 2,New York
12-2023,FELONY ASSAULT,New York
11-2023,SEX CRIMES,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
11-2023,PETIT LARCENY,New York
12-2023,DANGEROUS DRUGS,New York
12-2023,HARRASSMENT 2,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
12-2023,GRAND LARCENY,New York
12-2023,GRAND LARCENY OF MOTOR VEHICLE,New York
12-2023,CRIMINAL MISCHIEF & RELATED OF,New York
12-2023,ASSAULT 3 & RELATED OFFENSES,New York
